3.996747e+002,0.000000e+000
4.001569e+002,1.000000e-004
4.006390e+002,1.000000e-004
4.011211e+002,1.000000e-004
4.016032e+002,1.000000e-004
4.020853e+002,1.000000e-004
4.025674e+002,1.000000e-004
4.030496e+002,1.000000e-004
4.035317e+002,1.429604e+000
4.040138e+002,6.295134e+000
4.044959e+002,6.905244e+000
4.049780e+002,3.575452e+000
4.054601e+002,1.000000e-004
4.059423e+002,1.000000e-004
4.064244e+002,1.000000e-004
4.069065e+002,1.000000e-004
4.073886e+002,1.000000e-004
4.078707e+002,1.000000e-004
4.083528e+002,1.000000e-004
4.088350e+002,1.006711e-004
4.093171e+002,1.018999e-004
4.097992e+002,1.023335e-004
4.102813e+002,1.006858e-004
4.107634e+002,1.003578e-004
4.112455e+002,1.000000e-004
4.117277e+002,1.000000e-004
4.122098e+002,1.000502e-004
4.126919e+002,1.005091e-004
4.131740e+002,1.012738e-004
4.136561e+002,1.025372e-004
4.141382e+002,1.011642e-004
4.146204e+002,1.001628e-004
4.151025e+002,1.000793e-004
4.155846e+002,1.000658e-004
4.160667e+002,1.001346e-004
4.165488e+002,1.004773e-004
4.170309e+002,1.013036e-004
4.175131e+002,1.019627e-004
4.179952e+002,1.019715e-004
4.184773e+002,1.004119e-004
4.189594e+002,1.000000e-004
4.194415e+002,1.000000e-004
4.199236e+002,1.000000e-004
4.204058e+002,1.001725e-004
4.208879e+002,1.007999e-004
4.213700e+002,1.015107e-004
4.218521e+002,2.816351e-001
4.223342e+002,3.444903e+000
4.228163e+002,5.842466e+000
4.232985e+002,6.618369e+000
4.237806e+002,5.663102e+000
4.242627e+002,3.734293e+000
4.247448e+002,2.026502e+000
4.252269e+002,1.635576e+000
4.257090e+002,2.818740e+000
4.261912e+002,4.911242e+000
4.266733e+002,6.894691e+000
4.271554e+002,8.063355e+000
4.276375e+002,8.230426e+000
4.281196e+002,7.664140e+000
4.286017e+002,6.905200e+000
4.290839e+002,6.518189e+000
4.295660e+002,6.709878e+000
4.300481e+002,7.302896e+000
4.305302e+002,7.726263e+000
4.310123e+002,7.563225e+000
4.314944e+002,6.641973e+000
4.319766e+002,5.228180e+000
4.324587e+002,3.880705e+000
4.329408e+002,3.145308e+000
4.334229e+002,3.219637e+000
4.339050e+002,3.848377e+000
4.343871e+002,4.520599e+000
4.348693e+002,4.787997e+000
4.353514e+002,4.496174e+000
4.358335e+002,3.872317e+000
4.363156e+002,3.432549e+000
4.367977e+002,3.653055e+000
4.372798e+002,4.568852e+000
4.377620e+002,5.973655e+000
4.382441e+002,7.290010e+000
4.387262e+002,8.101101e+000
4.392083e+002,8.230525e+000
4.396904e+002,7.812621e+000
4.401725e+002,7.203623e+000
4.406547e+002,6.842884e+000
4.411368e+002,6.945235e+000
4.416189e+002,7.454989e+000
4.421010e+002,8.005171e+000
4.425831e+002,8.210367e+000
4.430652e+002,7.949791e+000
4.435474e+002,7.401477e+000
4.440295e+002,6.881464e+000
4.445116e+002,6.926777e+000
4.449937e+002,7.460197e+000
4.454758e+002,8.324690e+000
4.459579e+002,9.235579e+000
4.464401e+002,9.807793e+000
4.469222e+002,9.905631e+000
4.474043e+002,9.647742e+000
4.478864e+002,9.370951e+000
4.483685e+002,9.257170e+000
4.488506e+002,9.567353e+000
4.493328e+002,1.019892e+001
4.498149e+002,1.067761e+001
4.502970e+002,1.089966e+001
4.507791e+002,1.078605e+001
4.512612e+002,1.044631e+001
4.517433e+002,1.019809e+001
4.522255e+002,1.034294e+001
4.527076e+002,1.097215e+001
4.531897e+002,1.185360e+001
4.536718e+002,1.269235e+001
4.541539e+002,1.316149e+001
4.546360e+002,1.315154e+001
4.551182e+002,1.275977e+001
4.556003e+002,1.223071e+001
4.560824e+002,1.184729e+001
4.565645e+002,1.178763e+001
4.570466e+002,1.187428e+001
4.575287e+002,1.203765e+001
4.580109e+002,1.189570e+001
4.584930e+002,1.120940e+001
4.589751e+002,1.049128e+001
4.594572e+002,9.910200e+000
4.599393e+002,9.667762e+000
4.604214e+002,9.983932e+000
4.609036e+002,1.062096e+001
4.613857e+002,1.132231e+001
4.618678e+002,1.188363e+001
4.623499e+002,1.222459e+001
4.628320e+002,1.236567e+001
